School,Stadium,Conference,Year Built,Cap.,Surface (Year)
Air Force,Falcon,Mountain West-M,1962,46692,FieldTurf
Akron,InfoCision,Mid-American-E,2009,30000,Artificial
Alabama,Bryant-Denny,Southeastern-W,1929,101821,PAT (1991)
Appalachian St.,Kidd Brewer,Sun Belt-W,1962,24050,FieldTurf (2003)
Arizona,Arizona,Pac-12-South,1928,57803,FieldTurf (2013)
Arizona St.,Sun Devil/Frank Kush Field,Pac-12-South,1959,71706,Grass (Hybrid Bermuda)
Arkansas,Reynolds Razorback,Southeastern-W,1938,72000,Synthetic PowerBlade 2.5
Arkansas St.,Liberty Bank,Sun Belt-E,1974,30406,"(2009)
FieldTurf"
Army West Point,Michie,Independent,1924,38000,FieldTurf (2008)
Auburn,Jordan-Hare,Southeastern-W,1939,87451,Grass
Ball St.,Scheumann,Mid-American-W,1967,22500,FieldTurf (2006)
Baylor,McLane,Big 12,2014,45140,Matrix Turf (2014)
Boise St.,Albertsons,Mountain West-M,1970,37000,Blue AstroTurf
Boston College,Alumni,Atlantic Coast-Atl.,1957,44500,FieldTurf (2004)
Bowling Green,Doyt Perry,Mid-American-E,1966,24000,FieldTurf (2007)
Buffalo,UB Stadium,Mid-American-E,1993,29013,Momentum Turf (2005)
BYU,LaVell Edwards,Independent,1964,63470,Grass
California,Memorial,Pac-12-North,1923,63186,Matrix Turf (2012)
Central Mich.,Kelly-Shorts,Mid-American-W,1972,30255,FieldTurf (2004)
Charlottte,Jerry Richardson,Conference USA-E,2013,15314,Matrix Turf
Cincinnati,Nippert,American Athletic,1916,35000,FieldTurf (2000)
Clemson,Memorial,Atlantic Coast-Atl.,1942,81500,Grass
Colorado,Folsom,Pac-12-South,1924,53613,Grass (1999)
Colorado St.,Hughes,Mountain West-M,1968,32500,FieldTurf (2006)
Duke,Wallace Wade,Atlantic Coast-Co.,1929,33941,Grass
East Carolina,Dowdy-Ficklen,American Athletic,1963,50000,Grass (1983)
Eastern Mich.,Rynearson,Mid-American-W,1969,30200,Gray FieldTurf (2014)
FIU,Alfonso Field at FIU,Conference USA-E,1995,20000,FieldTurf
Fla. Atlantic,FAU,Conference USA-E,2011,30000,Turf
Florida,Florida Field at Ben Hill Griffin,Southeastern-E,1929,88548,Grass (1990)
Florida St.,Doak S. Campbell,Atlantic Coast-Atl.,1950,82300,PAT (1988)
Fresno St.,Bulldog,Mountain West-W,1980,41031,FieldTurf (2011)
Ga. Southern,Paulson,Sun Belt-W,1984,12300,Hybrid Bermuda Grass
